article_id,article_name,target_group,category,supplier_name,brand,original_price,actual_price,article_url,image_url,article_index
NX322O0SC-H11,3 PACK  - T-shirt print - mottled orange,KIDS,T_SHIRT_TOP,3 PACK,Next,2100,2100,https://www.zalando.nl/next-3-pack-t-shirt-print-mottled-orange-nx322o0sc-h11.html,https://img01.ztat.net/article/spp-media-p1/d76f934e98d440feadd32c840a19b850/a80bb7df54d249a782d1f92b63a25e68.jpg?imwidth=600&filter=packshot,567
BEJ21D13K-A11,REGULAR FIT SHORT SLEEVE  - T-shirt basic - white,WOMEN,T_SHIRT_TOP,REGULAR FIT SHORT SLEEVE,Bershka,799,799,https://www.zalando.nl/bershka-t-shirt-basic-white-bej21d13k-a11.html,https://img01.ztat.net/article/spp-media-p1/d52d45cce34e48ba96e021d49102ee74/b8923d045b8345ea92d716eb2ba11764.jpg?imwidth=600&filter=packshot,568
V1021D0X2-I11,VIPURE LOVE  - T-shirt print - lavender/black,WOMEN,T_SHIRT_TOP,VIPURE LOVE,Vila,1499,1499,https://www.zalando.nl/vila-vipure-love-t-shirt-print-lavenderblack-v1021d0x2-i11.html,https://img01.ztat.net/article/spp-media-p1/b17c9f879736440f83c2110e9a4ff8d9/6d987e2cfb0c4d11b3dc84cf2bd6bd54.jpg?imwidth=600&filter=packshot,569
GIT21A005-Q11,PETRA TROUSERS - Broek - black,WOMEN,TROUSER,PETRA TROUSERS,Gina Tricot Tall,2495,1395,https://www.zalando.nl/gina-tricot-tall-petra-trousers-broek-black-git21a005-q11.html,https://img01.ztat.net/article/spp-media-p1/1e15e926f003457e8c3b98494ac6e590/08782ab893c049c98b083a51c087b571.jpg?imwidth=600&filter=packshot,570
PI922S01N-K11,Sweater - dark blue,MEN,PULLOVER,Sweater,Pier One,2499,1879,https://www.zalando.nl/pier-one-sweater-dark-blue-pi922s01n-k11.html,https://img01.ztat.net/article/spp-media-p1/ff07d006da5045f1be49840ff1c528c4/5f9c6bd788e440a09c98c1e9ada57e3e.jpg?imwidth=600&filter=packshot,571
JAN24A007-K11,Jeans Skinny Fit - blue,KIDS,TROUSER,Jeans Skinny Fit,Jack & Jones Junior,2995,2095,https://www.zalando.nl/jackandjones-junior-jeans-skinny-fit-blue-jan24a007-k11.html,https://img01.ztat.net/article/spp-media-p1/1986987a93d732d69f55a6cec7e7e829/db7ea8648b234e6e9a84aba8bc9c647e.jpg?imwidth=600&filter=packshot,572
AD542E235-Q11,TIRO  - Trainingsbroek - black,MEN,TROUSER,TIRO,adidas Performance,5495,3845,https://www.zalando.nl/adidas-performance-tiro-trainingsbroek-black-ad542e235-q11.html,https://img01.ztat.net/article/spp-media-p1/6deee4877c6b4b7597db4b3fd0cd9887/6aa96eab73bd4b99b776abf008da4eb3.jpg?imwidth=600&filter=packshot,573
NA824A0NO-K11,Slim fit jeans - light blue,KIDS,TROUSER,Slim fit jeans,Name it,2499,2009,https://www.zalando.nl/name-it-slim-fit-jeans-light-blue-na824a0no-k11.html,https://img01.ztat.net/article/spp-media-p1/2c584ee6163938589649d0f840c8d774/48ddbc0d36974b818c85fd4640d2bafb.jpg?imwidth=600&filter=packshot,574
ON321D1C9-Q11,ONLNICOLE LIFE MIX - T-shirt print - black,WOMEN,T_SHIRT_TOP,ONLNICOLE LIFE MIX,ONLY,1499,1204,https://www.zalando.nl/only-onlnicole-mix-t-shirt-print-on321d1c9-q11.html,https://img01.ztat.net/article/spp-media-p1/10ef758e49823c9dbe68c938e080afe0/fab845610d08407a92ba4fa0005b7a46.png?imwidth=600&filter=packshot,575
GID21J02D-M11,RILEY - Sweater - kelly green,WOMEN,PULLOVER,RILEY,Gina Tricot,2499,2499,https://www.zalando.nl/gina-tricot-riley-sweater-kelly-green-gid21j02d-m11.html,https://img01.ztat.net/article/spp-media-p1/18bedb803dda49788e004645e7092ae5/43c33d606af744fabae9803c531c0e44.jpg?imwidth=600&filter=packshot,576
